,English_word,French_word,Frequency
0,abide,respecter,29.0
1,about,sur,350.0
2,above,au dessus,115.0
3,abroad,à l'étranger,20.0
4,absence,absence,34.0
5,abuse,abuser de,25.0
6,according,selon,44.0
7,account,Compte,31.0
8,accuse,accuser,34.0
9,acquainted,connaissance,36.0
10,action,action,69.0
11,advantage,avantage,52.0
12,advice,Conseil,19.0
13,affairs,affaires,39.0
14,affection,affection,40.0
15,affections,affections,24.0
16,afraid,peur,25.0
17,after,après,346.0
18,afterwards,ensuite,29.0
19,again,encore,247.0
20,alive,vivant,39.0
21,almost,presque,156.0
22,alone,seul,83.0
23,along,le long de,61.0
24,already,déjà,69.0
25,although,bien que,73.0
26,always,toujours,59.0
27,ambition,ambition,18.0
28,ancient,ancien,64.0
29,angel,ange,35.0
30,anger,colère,31.0
31,another,un autre,330.0
32,answer,répondre,272.0
33,anything,n'importe quoi,68.0
34,apparel,vêtements,25.0
35,appear,apparaître,94.0
36,appears,apparaît,40.0
37,approach,approche,35.0
38,argument,argument,38.0
39,ariel,Ariel,12.0
40,armour,armure,27.0
41,aside,de côté,24.0
42,asleep,endormi,13.0
43,assure,assurer,49.0
44,athens,Athènes,36.0
45,attend,assister,100.0
46,attended,assisté,31.0
47,authority,autorité,30.0
48,avoid,éviter,25.0
49,awake,éveillé,31.0
50,awhile,quelque temps,23.0
51,banish,bannir,35.0
52,barren,Dénudé,33.0
53,bassianus,bassianus,17.0
54,bastard,Connard,66.0
55,battle,bataille,68.0
56,beard,barbe,40.0
57,bearing,palier,62.0
58,bears,ours,85.0
59,beast,la bête,36.0
60,beaten,battu,34.0
61,beauty,beauté,139.0
62,because,car,182.0
63,become,devenir,134.0
64,bedford,Bedford,6.0
65,before,avant,689.0
66,beggar,mendiant,26.0
67,begin,commencer,75.0
68,behalf,nom,24.0
69,behind,derrière,78.0
70,behold,voir,117.0
71,being,étant,640.0
72,believe,croyez,209.0
73,belike,être comme,28.0
74,below,au dessous de,31.0
75,benefit,avantage,29.0
76,besides,outre,39.0
77,betray,trahir,36.0
78,better,mieux,501.0
79,between,entre,229.0
80,beyond,au-delà,57.0
81,birth,naissance,30.0
82,bishop,évêque,39.0
83,bitter,amer,65.0
84,black,noir,122.0
85,blame,faire des reproches,56.0
86,bless,bénir,103.0
87,blessing,bénédiction,27.0
88,blest,heureux,39.0
89,blind,aveugle,51.0
90,blood,du sang,344.0
91,blows,coups,40.0
92,blunt,cru,25.0
93,blush,rougir,32.0
94,bodies,corps,30.0
95,bones,des os,37.0
96,borne,supporté,63.0
97,bottom,bas,33.0
98,bought,acheté,42.0
99,bound,lié,133.0
100,bounty,prime,22.0
101,brain,cerveau,43.0
102,brains,cerveaux,22.0
103,brave,courageux,148.0
104,breast,Sein,35.0
105,breath,souffle,116.0
106,breed,race,41.0
107,brief,bref,39.0
108,bright,brillant,52.0
109,bring,apporter,435.0
110,broke,cassé,73.0
111,brook,ruisseau,32.0
112,brother,frère,269.0
113,brought,apporté,188.0
114,brows,sourcils,21.0
115,burden,fardeau,27.0
116,buried,enterré,38.0
117,burning,brûlant,37.0
118,business,Entreprise,130.0
119,cannot,ne peux pas,719.0
120,capitol,Capitole,8.0
121,captain,capitaine,72.0
122,cardinal,cardinal,45.0
123,cares,se soucie,26.0
124,carry,porter,81.0
125,castle,Château,35.0
126,catch,capture,57.0
127,cause,cause,208.0
128,cease,cesser,29.0
129,certain,certain,121.0
130,chain,chaîne,31.0
131,chair,chaise,16.0
132,challenge,défi,35.0
133,chamber,chambre,48.0
134,chance,chance,70.0
135,change,changement,121.0
136,charge,charge,131.0
137,charity,charité,23.0
138,chaste,chaste,26.0
139,cheek,joue,38.0
140,cheer,acclamation,43.0
141,chide,gronder,39.0
142,chief,chef,105.0
